Ticker,Company,2016,2015,2014,2013,2012,2011,2010,2009,2008,haveLeft
A,Agilent Technologies Inc.,X,X,X,X,X,X,X,X,X,0
AA,Alcoa Inc.,X,X,X,X,X,X,X,X,X,0
AAL,American Airlines Group,X,,,,,,,,,0
AAP,Advance Auto Parts Inc,X,,,,,,,,,0
AAPL,Apple Inc.,X,X,X,X,X,X,X,X,X,0
ABBV,AbbVie Inc.,X,X,X,X,,,,,,0
ABC,AmerisourceBergen Corp.,X,X,X,X,X,X,X,X,X,0
ABI,Applied Biosystems Inc.,,,,,,,,,X,1
ABK,Ambac Financial Group Inc.,,,,,,,,,X,1
ABT,Abbott Laboratories,X,X,X,X,X,X,X,X,X,0
ACAS,American Capital Ltd.,,,,,,,,X,X,1
ACE,ACE Limited,X,X,X,X,X,X,,,X,0
ACN,Accenture plc,X,X,X,X,X,,,,,0
ACS,ACS Inc.,,,,,,,X,X,X,1
ADBE,Adobe Systems Inc.,X,X,X,X,X,X,X,X,X,0
ADI,Analog Devices Inc.,X,X,X,X,X,X,X,X,X,0
ADM,Archer-Daniels-Midland Co.,X,X,X,X,X,X,X,X,X,0
ADP,"ADP, LLC.",X,X,X,X,X,X,X,X,X,0
ADS,Alliance Data Systems Corp.,X,X,X,,,,,,,0
ADSK,Autodesk Inc.,X,X,X,X,X,X,X,X,X,0
ADT,ADT Corp.,X,X,X,X,,,,,,0
AEE,Ameren Corp.,X,X,X,X,X,X,X,X,X,0
AEP,American Electric Power,X,X,X,X,X,X,X,X,X,0
AES,AES Corp.,X,X,X,X,X,X,X,X,X,0
AET,Aetna Inc.,X,X,X,X,X,X,X,X,X,0
AFL,AFLAC Inc.,X,X,X,X,X,X,X,X,X,0
AGN,"Allergan, Plc",X,X,X,X,X,X,X,X,X,0
AGN (Old),Allergan Inc. (Old),,X,X,X,X,X,X,X,X,1
AIG,"AIG, Inc.",X,X,X,X,X,X,X,X,X,0
AIV,Aimco,X,X,X,X,X,X,X,X,X,0
AIZ,Assurant Inc.,X,X,X,X,X,X,X,X,X,0
AKAM,Akamai Technologies Inc.,X,X,X,X,X,X,X,X,X,0
AKS,AK Steel Holding Corp.,,,,,,X,X,X,,0
ALL,Allstate Corp.,X,X,X,X,X,X,X,X,X,0
ALLE,Allegion,X,X,X,,,,,,,0
ALTR,Altera Corp.,,X,X,X,X,X,X,X,X,1
ALXN,Alexion Pharmaceuticals,X,X,X,X,,,,,,0
AMAT,Applied Materials Inc.,X,X,X,X,X,X,X,X,X,0
AMD,Advanced Micro Devices,,,,X,X,X,X,X,X,1
AME,Ametek,X,X,X,,,,,,,0
AMG,Affiliated Managers Group,X,X,,,,,,,,0
AMGN,Amgen Inc.,X,X,X,X,X,X,X,X,X,0
AMP,Ameriprise Financial,X,X,X,X,X,X,X,X,X,0
AMT,American Tower Corp.,X,X,X,X,X,X,X,X,X,0
AMZN,Amazon.com Inc.,X,X,X,X,X,X,X,X,X,0
AN,AutoNation Inc.,X,X,X,X,X,X,X,X,X,0
ANF,Abercrombie & Fitch,,,,X,X,X,X,X,X,1
ANR,Alpha Natural Resources,,,,,X,,,,,0
ANTM,Anthem Inc.,X,X,X,X,X,X,X,X,X,0
AON,Aon plc,X,X,X,X,X,X,X,X,X,0
APA,Apache Corporation,X,X,X,X,X,X,X,X,X,0
APC,Anadarko Petroleum Corp.,X,X,X,X,X,X,X,X,X,0
